,election_district,registered_voters,voted_in_2016,ratio_voted
0,23001,1074,777.0,0.723463687150838
1,23002,1120,829.0,0.7401785714285715
2,23003,1061,755.0,0.7115928369462771
3,23004,201,138.0,0.6865671641791045
4,23005,997,665.0,0.6670010030090271
5,23006,1013,731.0,0.721618953603159
6,23007,981,708.0,0.7217125382262997
7,23008,1004,727.0,0.7241035856573705
8,23009,1023,698.0,0.6823069403714564
9,23010,960,655.0,0.6822916666666666
10,23011,1161,709.0,0.6106804478897502
11,23012,1170,584.0,0.49914529914529915
12,23013,1114,693.0,0.6220825852782765
13,23014,1174,781.0,0.6652470187393527
14,23015,693,428.0,0.6176046176046176
15,23016,723,429.0,0.5933609958506224
16,23017,743,443.0,0.5962314939434724
17,23018,1039,569.0,0.5476419634263715
18,23019,752,427.0,0.5678191489361702
19,23021,708,493.0,0.6963276836158192
20,23022,1,,
21,23023,947,490.0,0.5174234424498416
22,23024,1165,594.0,0.5098712446351932
23,23025,1072,566.0,0.5279850746268657
24,23026,929,556.0,0.5984930032292788
25,23027,1001,574.0,0.5734265734265734
26,23028,1051,526.0,0.5004757373929591
27,23029,1030,562.0,0.545631067961165
28,23030,941,546.0,0.5802337938363443
29,23031,1031,562.0,0.545101842870999
30,23032,570,356.0,0.624561403508772
31,23033,1276,627.0,0.49137931034482757
32,23034,989,458.0,0.46309403437815977
33,23035,930,505.0,0.543010752688172
34,23036,1052,610.0,0.5798479087452472
35,23037,1036,634.0,0.611969111969112
36,23038,224,128.0,0.5714285714285714
37,23039,1035,590.0,0.5700483091787439
38,23040,848,597.0,0.7040094339622641
39,23041,669,461.0,0.6890881913303438
40,23042,1191,658.0,0.5524769101595298
41,23043,722,358.0,0.49584487534626037
42,23044,756,509.0,0.6732804232804233
43,23045,1115,772.0,0.6923766816143497
44,23046,864,588.0,0.6805555555555556
45,23047,675,465.0,0.6888888888888889
46,23048,665,458.0,0.6887218045112782
47,23049,1117,729.0,0.6526410026857654
48,23050,1112,677.0,0.6088129496402878
49,23051,1100,739.0,0.6718181818181819
50,23052,1097,710.0,0.6472196900638104
51,23053,1126,642.0,0.5701598579040853
52,23054,1139,632.0,0.5548726953467954
53,23055,1147,615.0,0.5361813426329556
54,23056,1124,248.0,0.2206405693950178
55,23057,1043,587.0,0.5627996164908916
56,23058,1046,586.0,0.5602294455066922
57,23059,1056,597.0,0.5653409090909091
58,23060,1037,604.0,0.5824493731918997
59,23061,1142,714.0,0.6252189141856392
60,23062,1125,720.0,0.64
61,23063,869,549.0,0.6317606444188723
62,23064,1133,775.0,0.6840247131509267
63,23065,1201,696.0,0.5795170691090757
64,23066,875,472.0,0.5394285714285715
65,23067,744,405.0,0.5443548387096774
66,23068,868,448.0,0.5161290322580645
67,23069,932,499.0,0.5354077253218884
68,23070,1145,584.0,0.5100436681222708
69,23071,40,7.0,0.175
70,23084,829,487.0,0.5874547647768396
71,23085,721,427.0,0.5922330097087378
72,23086,642,386.0,0.6012461059190031
73,23087,728,383.0,0.5260989010989011
74,23088,820,395.0,0.4817073170731707
75,23089,965,567.0,0.5875647668393782
76,23090,747,519.0,0.6947791164658634
77,23091,154,74.0,0.4805194805194805
78,23092,896,602.0,0.671875
79,23093,723,471.0,0.6514522821576764
80,24001,670,431.0,0.6432835820895523
81,24002,1105,685.0,0.6199095022624435
82,24003,941,581.0,0.6174282678002125
83,24004,744,484.0,0.6505376344086021
84,24005,999,616.0,0.6166166166166166
85,24006,1021,680.0,0.6660137120470128
86,24007,1011,640.0,0.6330365974282888
87,24008,573,208.0,0.36300174520069806
88,24009,67,20.0,0.29850746268656714
89,24010,607,369.0,0.6079077429983526
90,24011,793,474.0,0.5977301387137453
91,24012,139,82.0,0.5899280575539568
92,24013,796,552.0,0.6934673366834171
93,24014,636,408.0,0.6415094339622641
94,24015,678,424.0,0.6253687315634219
95,24016,641,344.0,0.5366614664586583
96,24017,1103,644.0,0.5838621940163191
97,24018,668,459.0,0.687125748502994
98,24019,974,635.0,0.6519507186858317
99,24020,1116,741.0,0.6639784946236559
100,24021,1016,688.0,0.6771653543307087
101,24022,726,513.0,0.7066115702479339
102,24023,156,86.0,0.5512820512820513
103,24024,812,542.0,0.6674876847290641
104,24025,767,490.0,0.6388526727509778
105,24026,901,425.0,0.4716981132075472
106,24027,1038,628.0,0.605009633911368
107,24028,919,572.0,0.6224156692056583
108,24029,971,636.0,0.654994850669413
109,24030,1033,669.0,0.6476282671829623
110,24031,615,366.0,0.5951219512195122
111,24032,525,314.0,0.5980952380952381
112,24033,1074,660.0,0.6145251396648045
113,24034,595,385.0,0.6470588235294118
114,24035,903,562.0,0.6223698781838317
115,24036,388,251.0,0.6469072164948454
116,24037,653,403.0,0.6171516079632465
117,24038,43,22.0,0.5116279069767442
118,24039,348,112.0,0.3218390804597701
119,24040,1124,704.0,0.6263345195729537
120,24041,290,151.0,0.5206896551724138
121,24042,664,358.0,0.5391566265060241
122,24043,1149,675.0,0.587467362924282
123,24044,877,492.0,0.5610034207525656
124,24045,1035,533.0,0.514975845410628
125,24046,929,516.0,0.5554359526372443
126,24047,965,560.0,0.5803108808290155
127,24048,406,209.0,0.5147783251231527
128,24049,1074,706.0,0.6573556797020484
129,24050,992,519.0,0.5231854838709677
130,24051,965,549.0,0.5689119170984456
